0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
W_RT,D_RT,F_RT,D_TT,F_TT,W_LMA,D_LMA,F_LMA,W_RC,D_RC,F_RC,W_IT,D_IT,F_IT,W_IP,D_IP,F_IP,W_INF,D_INF,F_INF,W_NRR,W_CRL,W_CRH,W_WR1,D_SCR,D_GQ,F_NRR,W_WR2,D_WR2,F_WR2
3.27E-02,1.15E-01,1.32E-01,3.18E-02,6.39E-01,8.82E-01,5.48E-02,5.17E-02,4.17E-02,3.63E-02,7.79E-02,6.69E-01,1.00E+00,3.30E-01,1.71E-02,1.10E-02,9.42E-03,8.70E-03,1.00E-03,1.00E-03,0.00E+00,9.47E-01,2.60E-01,8.94E-01,1.33E-02,4.93E-01,4.18E-01,8.40E-01,6.96E-01,9.41E-01
7.27E-02,1.55E-01,1.72E-01,7.18E-02,6.79E-01,9.22E-01,9.48E-02,9.17E-02,8.17E-02,7.63E-02,1.18E-01,7.09E-01,1.04E+00,3.70E-01,1.71E-02,1.10E-02,9.42E-03,4.87E-02,4.10E-02,4.10E-02,0.00E+00,9.47E-01,2.60E-01,8.94E-01,1.33E-02,4.93E-01,4.18E-01,8.40E-01,6.96E-01,9.41E-01
0.00E+00,7.50E-02,9.20E-02,0.00E+00,5.99E-01,8.42E-01,1.48E-02,1.17E-02,1.70E-03,0.00E+00,3.79E-02,6.29E-01,9.60E-01,2.90E-01,1.71E-02,1.10E-02,9.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-01,2.60E-01,8.94E-01,1.33E-02,4.93E-01,4.18E-01,8.40E-01,6.96E-01,9.41E-01
